,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,9.827E-01,3.052E+01,1.686E+02,1.304E+00,2.201E+01,2.867E+02,1.714E+00,1.681E+01,4.591E+02,2.258E+00,1.300E+01,7.149E+02,3.059E+00,9.827E+00,1.093E+03
gammam,3.073E+00,9.847E+00,9.565E+02,2.273E+00,1.296E+01,6.949E+02,1.726E+00,1.666E+01,4.787E+02,1.312E+00,2.165E+01,3.119E+02,9.873E-01,2.959E+01,1.885E+02
gammamRNA,3.052E+00,9.848E+00,1.090E+03,2.266E+00,1.297E+01,7.185E+02,1.728E+00,1.668E+01,4.654E+02,1.321E+00,2.171E+01,2.935E+02,1.002E+00,2.976E+01,1.753E+02
gammad,1.886E+00,1.543E+01,5.121E+02,1.701E+00,1.717E+01,3.943E+02,1.502E+00,1.967E+01,2.913E+02,1.297E+00,2.346E+01,2.055E+02,1.097E+00,3.001E+01,1.352E+02
alphaass,1.928E+00,1.504E+01,5.606E+02,2.228E+00,1.319E+01,6.778E+02,2.588E+00,1.152E+01,8.076E+02,3.044E+00,9.932E+00,9.486E+02,3.689E+00,8.311E+00,1.099E+03
alphadiss,1.774E+00,1.624E+01,4.982E+02,1.521E+00,1.875E+01,3.956E+02,1.285E+00,2.211E+01,3.013E+02,1.069E+00,2.691E+01,2.188E+02,8.759E-01,3.485E+01,1.477E+02
phi0,9.912E-01,3.017E+01,1.716E+02,1.314E+00,2.183E+01,2.907E+02,1.726E+00,1.670E+01,4.647E+02,2.274E+00,1.292E+01,7.226E+02,3.083E+00,9.755E+00,1.103E+03
f1,1.976E+00,1.471E+01,5.798E+02,1.976E+00,1.471E+01,5.798E+02,1.978E+00,1.471E+01,5.798E+02,1.988E+00,1.467E+01,5.798E+02,2.061E+00,1.444E+01,5.798E+02
f2,1.976E+00,1.471E+01,5.798E+02,1.976E+00,1.471E+01,5.798E+02,1.976E+00,1.471E+01,5.798E+02,1.976E+00,1.471E+01,5.798E+02,1.979E+00,1.470E+01,5.798E+02
f3,1.899E+00,1.497E+01,5.798E+02,1.912E+00,1.493E+01,5.798E+02,1.950E+00,1.480E+01,5.798E+02,2.065E+00,1.442E+01,5.798E+02,2.477E+00,1.327E+01,5.798E+02
f12,1.976E+00,1.471E+01,5.798E+02,1.976E+00,1.471E+01,5.798E+02,1.976E+00,1.471E+01,5.798E+02,1.976E+00,1.471E+01,5.798E+02,1.976E+00,1.471E+01,5.798E+02
f13,1.976E+00,1.471E+01,5.798E+02,1.977E+00,1.470E+01,5.798E+02,1.979E+00,1.464E+01,5.799E+02,1.993E+00,1.431E+01,5.806E+02,2.077E+00,1.256E+01,5.844E+02
f23,1.924E+00,1.608E+01,5.770E+02,1.925E+00,1.607E+01,5.770E+02,1.926E+00,1.602E+01,5.771E+02,1.938E+00,1.570E+01,5.778E+02,2.014E+00,1.384E+01,5.816E+02
f123,1.951E+00,2.323E+01,2.376E+02,1.973E+00,1.532E+01,5.335E+02,2.010E+00,1.075E+01,1.117E+03,2.076E+00,7.664E+00,2.238E+03,2.212E+00,5.372E+00,4.312E+03
kb1,1.938E+00,3.862E+01,5.606E+02,1.949E+00,2.438E+01,5.729E+02,1.972E+00,1.558E+01,5.792E+02,2.020E+00,9.944E+00,5.825E+02,2.135E+00,6.200E+00,5.843E+02
kb2,1.924E+00,2.510E+01,5.675E+02,1.952E+00,1.795E+01,5.761E+02,1.998E+00,1.282E+01,5.818E+02,2.080E+00,9.060E+00,5.855E+02,2.249E+00,6.182E+00,5.879E+02
