,log10_var,log10_left_bound,log10_right_bound
beta,-0.1804560644581313,-0.4398832271428118,0.45948028324369417
gammam,-1.5100415205751654,-2.17062858078891,-1.2298580353121955
gammamRNA,-0.26121944151563087,-0.90044654452126,-0.00010760401434790337
gammad,-3.186419011431808,-3.3010299956639813,-2.106020554611012
alphaass,-1.856985199745905,-2.0,-0.533157860083297
alphadiss,-0.494850021680094,-1.840389560816762,0.06145911263031159
phi0,-0.6073030467403343,-0.8657136142396862,0.03624602470843236
f1,0.9731278535996987,-3.0,2.0
f2,-1.0,-3.0,0.0458984375
f3,0.9876662649262746,-3.0,2.0
f12,0.6294095991027189,-3.0,1.9973230656232475
f13,-1.7670038896078462,-3.0,2.0
f23,-2.5783960731301687,-3.0,2.0
f123,1.1643528557844371,0.8837470481192748,2.0
kb1,-2.705533773838407,-3.0,-1.3407451695122283
kb2,1.9148718175400503,-2.6496233958198987,2.0
kb3,-2.9871627752948275,-3.0,-0.7614465757736009
ku1,1.5390760987927767,0.17390514271548493,2.409353032129111
ku2,-0.07058107428570728,-2.0,3.0
ku3,-0.8538719643217619,-2.0,0.0004531683940974195
bcoop12,0.8756399370041684,0.004121702244460046,1.3010299956639813
bcoop23,-0.3695721249749761,-1.2246213422090237,1.3010299956639813
bcoop13,1.1931245983544616,0.44780105756379407,1.3010299956639813
bcoop123,-0.2907300390241692,-1.0366155538871553,1.3010299956639813
ucoop12,-1.072116589669293,-1.3010299956639813,-0.19609177594275234
ucoop23,0.12385164096708581,-1.3010299956639813,0.9745469363535142
ucoop13,-1.193820026016113,-1.3010299956639813,-0.44828867188124105
ucoop123,0.6711728427150833,-1.3010299956639813,1.3010299956639813
