,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.063E+00,5.397E+01,2.534E+02,1.290E+00,3.715E+01,3.341E+02,1.598E+00,2.661E+01,4.143E+02,2.051E+00,1.899E+01,4.976E+02,2.828E+00,1.285E+01,5.857E+02
gammam,2.602E+00,1.432E+01,5.472E+02,1.883E+00,2.112E+01,4.759E+02,1.455E+00,2.979E+01,4.040E+02,1.162E+00,4.208E+01,3.302E+02,9.471E-01,6.261E+01,2.502E+02
gammamRNA,2.357E+00,1.596E+01,5.387E+02,1.842E+00,2.186E+01,4.631E+02,1.497E+00,2.929E+01,3.908E+02,1.246E+00,3.946E+01,3.203E+02,1.052E+00,5.527E+01,2.486E+02
gammad,2.177E+00,1.518E+01,8.740E+02,2.134E+00,1.616E+01,7.333E+02,2.071E+00,1.788E+01,5.767E+02,1.981E+00,2.113E+01,4.154E+02,1.860E+00,2.850E+01,2.595E+02
alphaass,9.743E-01,5.875E+01,2.624E+02,1.195E+00,4.018E+01,3.400E+02,1.497E+00,2.863E+01,4.125E+02,1.940E+00,2.035E+01,4.834E+02,2.696E+00,1.375E+01,5.537E+02
alphadiss,2.727E+00,1.358E+01,5.557E+02,1.946E+00,2.028E+01,4.841E+02,1.493E+00,2.872E+01,4.119E+02,1.188E+00,4.057E+01,3.379E+02,9.654E-01,5.995E+01,2.585E+02
phi0,1.057E+00,5.476E+01,2.505E+02,1.277E+00,3.781E+01,3.301E+02,1.574E+00,2.720E+01,4.089E+02,2.005E+00,1.955E+01,4.905E+02,2.724E+00,1.342E+01,5.768E+02
fm,2.028E+00,1.926E+01,4.942E+02,2.028E+00,1.926E+01,4.942E+02,2.028E+00,1.926E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02,2.031E+00,1.923E+01,4.943E+02
fd,1.698E+00,4.653E+01,2.646E+02,1.820E+00,3.026E+01,3.664E+02,1.986E+00,2.077E+01,4.715E+02,2.230E+00,1.437E+01,5.845E+02,2.651E+00,9.592E+00,7.081E+02
Km,2.029E+00,1.926E+01,4.941E+02,2.029E+00,1.928E+01,4.934E+02,2.032E+00,1.937E+01,4.901E+02,2.046E+00,1.982E+01,4.750E+02,2.110E+00,2.225E+01,4.070E+02
Kd,1.559E+00,7.040E+01,3.325E+02,1.671E+00,4.354E+01,4.018E+02,1.827E+00,2.818E+01,4.552E+02,2.064E+00,1.825E+01,4.991E+02,2.484E+00,1.132E+01,5.362E+02
kbm,2.029E+00,1.925E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02
kbd,2.029E+00,1.925E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02,2.029E+00,1.925E+01,4.942E+02
