,log10_var,log10_left_bound,log10_right_bound
beta,0.1553360374650618,0.13428783397419206,0.18915362902217717
gammam,-0.14630178822382556,-0.1825303788030153,-0.12344213381385281
gammamRNA,-2.003050751504619,-2.0380997485220345,-1.9825220842580054
gammad,-1.2518119729937995,-3.3010299956639813,-1.0
alphaass,-0.5968794788241821,-0.6215437067354758,-0.545585148612729
alphadiss,2.792391689498254,2.7386536806601347,2.815098848459382
phi0,-0.48945498979338786,-0.5101069723548063,-0.45163679669316514
fm,-2.9355420107730814,-3.0,-0.3761935657335245
fd,1.987219229908005,1.9628675735119696,2.0
Km,-2.234331445240986,-2.3189118912951434,-2.2069344808820164
Kd,-2.4647058799572297,-2.48887292960596,-2.411043770602116
kbm,0.7118072290411911,-3.0,2.0
kbd,-0.8153085691824012,-3.0,2.0
