,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,fm,fd,Km,Kd,kbm,kbd,DNAtot,taum,taumRNA
1,5.97E-02,3.24E-01,4.77E-01,2.61E-03,2.03E-02,3.59E-03,2.34E+00,2.11E-02,4.07E+01,1.41E-06,2.53E-03,1.12E-03,1.43E-01,1.00E+00,0.00E+00,0.00E+00
2,2.74E-02,5.56E-02,2.04E-03,2.38E-02,1.21E-01,1.15E+02,1.24E-01,3.12E+01,6.95E+01,2.72E-04,2.38E-03,3.07E-03,5.28E-02,1.00E+00,0.00E+00,0.00E+00
3,5.67E-02,4.97E-02,4.83E-03,1.21E-03,2.33E-01,8.09E+00,1.76E-02,5.04E+00,5.27E+01,1.25E-04,6.02E-03,6.63E-02,1.50E-01,1.00E+00,0.00E+00,0.00E+00
4,3.04E+01,4.04E-02,2.74E+00,5.92E-04,1.74E-01,1.46E+01,4.97E-02,4.58E-01,2.63E+01,2.20E-04,3.16E-03,6.13E-03,2.97E-03,1.00E+00,0.00E+00,0.00E+00
5,1.99E-01,2.74E-02,1.80E-02,2.90E-03,2.34E-02,2.50E-01,1.47E-02,3.43E-03,6.64E+01,1.40E-05,1.67E-03,7.16E-03,1.36E-03,1.00E+00,0.00E+00,0.00E+00
6,8.87E-02,1.40E-01,3.61E-02,3.80E-03,1.44E-02,9.24E-02,1.04E-01,1.77E+01,7.80E+01,9.09E-06,3.18E-03,8.88E-03,1.88E-01,1.00E+00,0.00E+00,0.00E+00
7,1.17E-02,7.10E-02,1.05E-02,8.86E-03,1.39E-02,1.16E+00,6.10E-01,5.44E+00,6.01E+01,1.10E-05,2.71E-03,7.42E-03,1.62E-01,1.00E+00,0.00E+00,0.00E+00
8,1.49E-01,2.82E-01,6.90E-02,1.47E-03,1.30E-02,1.85E-02,9.24E-02,2.31E+00,6.72E+01,2.13E-03,5.73E-03,2.05E-02,1.50E+00,1.00E+00,0.00E+00,0.00E+00
9,2.39E-01,6.42E-01,7.16E-01,1.52E-03,1.76E-01,3.06E-03,3.42E-01,1.01E+01,5.48E+01,2.84E-02,3.76E-03,1.08E+00,7.30E-01,1.00E+00,0.00E+00,0.00E+00
10,4.81E-02,9.10E-01,2.43E-03,6.37E-04,2.82E-02,1.55E-02,1.92E-02,3.79E-02,6.85E+01,4.07E-02,5.57E-03,8.73E-01,5.88E-01,1.00E+00,0.00E+00,0.00E+00
11,5.22E+00,2.06E-01,1.88E-02,3.61E-02,5.02E-02,8.09E+02,3.54E-02,1.10E-01,8.34E+01,4.76E-05,8.77E-03,2.54E-03,6.28E-03,1.00E+00,0.00E+00,0.00E+00
12,2.76E-02,7.33E-01,1.83E-02,6.94E-03,9.19E-02,3.58E+00,9.50E-01,2.45E-03,9.82E+01,7.07E-05,8.43E-03,1.45E-03,1.32E-03,1.00E+00,0.00E+00,0.00E+00
13,2.12E-01,5.97E-01,2.79E-03,2.18E-02,1.14E-02,2.00E-03,1.11E-02,8.98E+00,8.18E+01,1.16E-03,3.09E-03,5.86E-01,2.29E-02,1.00E+00,0.00E+00,0.00E+00
14,1.25E-01,4.04E-01,7.83E-02,1.94E-03,1.37E-02,3.19E-01,7.10E-01,4.43E-03,5.19E+01,2.09E-04,7.92E-03,9.22E-03,1.00E-02,1.00E+00,0.00E+00,0.00E+00
15,3.18E-01,1.53E-01,2.35E+00,5.66E-04,6.34E-01,1.06E+00,1.24E+00,3.94E-03,4.25E+01,1.50E-03,5.46E-03,2.45E-01,1.23E+00,1.00E+00,0.00E+00,0.00E+00
16,4.38E-02,2.17E-01,1.23E-02,5.22E-04,8.34E-01,8.76E+01,3.37E-01,3.09E+01,5.62E+01,1.08E-04,6.07E-03,3.07E-03,9.30E-03,1.00E+00,0.00E+00,0.00E+00
17,2.06E+00,6.22E-01,4.36E+00,7.29E-03,9.94E-01,2.70E+01,2.33E+00,1.06E-01,9.27E+01,1.50E-04,7.73E-03,2.59E-02,3.12E+00,1.00E+00,0.00E+00,0.00E+00
18,9.28E-02,4.81E-03,6.45E-01,2.02E-03,3.33E-01,5.85E+02,6.99E-01,1.74E+01,9.60E+01,2.78E-05,4.36E-03,1.83E-02,2.67E+00,1.00E+00,0.00E+00,0.00E+00
19,1.09E+00,4.75E-01,1.34E+00,1.21E-03,2.79E-01,3.80E-01,3.63E-01,4.07E-03,7.75E+01,1.15E-02,4.00E-03,7.38E+00,1.04E-01,1.00E+00,0.00E+00,0.00E+00
20,1.02E+00,1.64E-02,3.43E+00,1.97E-03,3.16E-02,1.71E+00,4.19E-01,3.02E+01,5.92E+01,5.21E-05,3.52E-03,5.19E-02,7.20E-01,1.00E+00,0.00E+00,0.00E+00
21,5.95E+01,1.57E-01,4.51E-01,4.42E-03,1.76E-02,6.15E+00,1.74E-02,7.76E-03,4.67E+01,7.83E-04,5.45E-03,2.28E-03,5.12E+00,1.00E+00,0.00E+00,0.00E+00
