,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA
1,5.27E-01,1.75E-01,4.21E-03,1.40E-03,8.38E-02,1.86E+02,3.43E-02,1.95E-03,1.12E-02,1.00E+00,1.22E+00,9.45E-01,7.89E-02,5.47E+01,9.10E+00,3.13E-03,5.91E+00,2.97E+02,1.07E+01,2.89E+02,1.37E+01,1.32E+00,8.51E+00,1.84E+00,3.34E+00,1.67E-01,4.05E+00,5.92E-01,1.00E+00,0.00E+00,0.00E+00
2,7.55E-01,1.71E-01,4.92E-01,1.02E-02,2.37E-02,9.37E-02,2.23E-01,2.93E-01,5.04E+01,1.52E+00,5.94E-01,4.54E+00,5.12E+01,7.38E+01,8.70E-01,1.43E-01,4.63E-02,2.84E+01,4.89E+02,2.26E+00,7.48E-01,4.19E+00,2.18E-01,6.51E-01,1.83E-01,5.31E-01,1.04E-01,2.10E-01,1.00E+00,0.00E+00,0.00E+00
3,3.28E-01,2.96E-02,6.92E-02,9.50E-03,1.88E-01,2.72E+01,1.00E-01,4.66E+00,6.71E-01,5.15E-01,2.05E-02,4.99E-03,4.04E-03,4.80E+01,2.33E+01,5.50E-03,5.85E-01,7.61E+02,1.89E+01,2.86E+01,2.54E-01,1.41E+01,2.89E-01,1.58E+00,6.19E-02,1.79E+00,1.38E-01,5.09E-01,1.00E+00,0.00E+00,0.00E+00
4,5.78E-02,3.78E-02,2.08E-01,1.56E-02,3.30E-02,3.00E+01,3.23E+00,1.38E+00,2.72E+00,1.34E-02,2.71E-02,2.38E+00,1.78E-02,6.09E+01,1.64E+01,1.19E-02,1.12E-02,5.37E+02,4.09E+01,5.47E-01,4.55E-01,2.42E+00,1.56E-01,6.46E+00,1.11E-01,3.06E-01,7.43E-02,2.09E+00,1.00E+00,0.00E+00,0.00E+00
5,1.49E-01,7.58E-01,4.94E-02,9.29E-02,1.60E-01,2.98E+01,2.23E+00,1.78E-03,3.12E+00,2.33E+01,5.47E-01,1.95E-01,6.84E-02,6.24E+01,1.97E+01,5.63E-03,2.03E-03,6.44E+02,1.93E+01,9.92E-02,9.64E+00,1.77E+01,9.90E+00,3.61E-01,2.35E+00,2.25E+00,4.71E+00,1.16E-01,1.00E+00,0.00E+00,0.00E+00
6,8.71E-01,3.63E-01,2.92E+00,5.31E-04,5.05E-02,4.16E-02,6.65E-01,1.78E+01,6.84E-02,9.27E-02,2.06E+01,8.50E-03,1.08E+01,5.35E+01,2.51E+00,1.54E-02,6.94E+00,8.18E+01,5.27E+01,3.39E+02,8.49E-01,6.42E+00,3.55E+00,1.90E-01,2.07E-01,8.12E-01,1.69E+00,6.13E-02,1.00E+00,0.00E+00,0.00E+00
7,3.21E+00,1.25E-01,2.80E+00,1.67E-03,3.07E-02,2.62E+00,7.14E-01,2.58E-01,6.57E+01,6.21E-03,2.58E-03,3.22E-02,1.26E+01,4.44E+01,3.76E-02,1.42E-03,6.40E-03,1.23E+00,4.88E+00,3.13E-01,3.78E+00,7.47E-01,1.21E+01,3.33E+00,9.21E-01,9.45E-02,5.77E+00,1.07E+00,1.00E+00,0.00E+00,0.00E+00
8,4.68E-02,8.55E-01,1.84E-02,2.23E-03,5.39E-01,5.15E+01,1.56E+00,4.26E-03,3.94E-03,1.24E-03,5.35E+01,1.80E-02,1.43E-01,6.15E+01,9.33E-02,1.54E-02,1.23E-02,3.05E+00,5.29E+01,6.03E-01,5.10E-01,2.44E+00,4.91E-01,1.07E+01,1.24E-01,3.09E-01,2.34E-01,3.46E+00,1.00E+00,0.00E+00,0.00E+00
9,7.98E+00,6.10E-03,6.06E+00,3.43E-03,3.37E-02,9.13E+01,8.60E-01,1.84E-02,1.12E-02,9.74E-03,7.71E-02,4.07E-01,3.05E+00,1.24E+01,2.11E+01,1.75E-02,5.40E-01,6.89E+02,6.01E+01,2.64E+01,3.23E+00,7.40E-01,9.00E-01,2.66E-01,7.88E-01,9.37E-02,4.29E-01,8.59E-02,1.00E+00,0.00E+00,0.00E+00
10,4.14E+00,7.20E-01,3.71E-02,3.78E-02,1.39E-01,1.90E+02,1.20E-01,5.00E-02,1.20E-03,7.92E-03,6.38E+01,1.10E+01,2.70E-02,5.93E+01,1.01E+00,1.37E-02,4.25E-02,3.28E+01,4.71E+01,2.08E+00,2.12E-01,2.65E+00,9.29E+00,8.28E-01,5.16E-02,3.36E-01,4.42E+00,2.67E-01,1.00E+00,0.00E+00,0.00E+00
11,2.35E+00,5.06E-01,5.38E-02,3.60E-02,2.41E-02,4.03E+01,1.70E-01,3.81E-02,1.67E+01,3.59E+01,5.20E-02,1.56E+00,5.35E-03,8.67E+01,2.40E+00,1.23E-02,1.61E-03,7.85E+01,4.20E+01,7.87E-02,2.80E+00,1.23E+01,1.55E+00,1.15E+01,6.84E-01,1.56E+00,7.36E-01,3.72E+00,1.00E+00,0.00E+00,0.00E+00
12,5.66E+00,3.28E-01,3.49E-02,1.17E-02,3.31E-02,7.72E-01,1.16E-02,1.10E-02,5.28E+01,1.86E-01,1.05E-02,3.39E+00,5.99E-03,3.35E+01,2.00E+01,1.55E-01,1.27E-01,6.54E+02,5.31E+02,6.21E+00,1.06E+00,1.17E+01,1.37E+01,3.23E-01,2.59E-01,1.48E+00,6.52E+00,1.04E-01,1.00E+00,0.00E+00,0.00E+00
13,1.07E-01,9.50E-01,2.48E-03,8.79E-02,1.35E-02,6.31E+02,1.87E+00,7.36E-03,3.26E+00,2.57E-02,5.19E+00,1.40E+01,1.69E+01,7.18E+01,9.75E-02,2.87E-03,1.40E+01,3.18E+00,9.84E+00,6.82E+02,9.39E+00,1.62E+01,3.27E+00,5.56E-01,2.29E+00,2.04E+00,1.56E+00,1.80E-01,1.00E+00,0.00E+00,0.00E+00
