,log10_var,log10_left_bound,log10_right_bound
beta,-0.18695303483989212,-0.21174078631669047,-0.1382665561489494
gammam,-0.5182708030399841,-0.5522006944046718,-0.48992786849873493
gammamRNA,-0.5590909179347823,-0.6019975228929599,-0.5316850228929599
gammad,-2.459920911195827,-3.3010299956639813,-1.4533738767190165
alphaass,-1.5195618528221828,-1.5683563521449297,-1.4275571312645896
alphadiss,1.6422666189026736,1.5470638855072085,1.692651256091832
phi0,0.9899834583013991,0.9695441182544169,1.0
f1,1.7945577512547615,1.7711468247349629,1.8812286999441592
f2,-0.7947956360518553,-3.0,-0.5573471786919809
f12,0.7884512070234556,-3.0,1.8154281135699797
kb1,-1.639028116274064,-1.6576351537468794,-1.5572921331936893
kb2,-2.960982678002588,-3.0,-2.9270697104771797
ku1,0.9464522650130731,0.8687626056816737,0.9665064421125548
ku2,-1.6110112148752858,-1.7234532855753986,-1.5524729865614395
bcoop,-1.1077383930844649,-1.3010299956639813,0.18603369071597006
ucoop,-0.0692546716888866,-1.3010299956639813,1.3010299956639813
