,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,9.890000E+01,2.132802E+00,2.280475E+01,7.830000E+01,2.739106E+00,2.842357E+01,6.760000E+01,3.759302E+00,3.083933E+01,6.090000E+01,5.367915E+00,3.098134E+01,5.610000E+01,8.140365E+00,2.847246E+01
gammam,6.320000E+01,7.919197E+00,2.616552E+01,6.340000E+01,5.585071E+00,2.965807E+01,6.460000E+01,4.165945E+00,3.136896E+01,6.690000E+01,3.202097E+00,3.188394E+01,7.070000E+01,2.514749E+00,3.146067E+01
gammamRNA,5.860000E+01,8.530395E+00,2.886417E+01,6.130000E+01,5.662158E+00,3.111004E+01,6.610000E+01,3.930198E+00,3.091504E+01,7.440000E+01,2.786340E+00,2.874699E+01,9.180000E+01,2.054595E+00,2.384009E+01
gammad,6.430000E+01,4.319229E+00,3.150609E+01,6.440000E+01,4.355776E+00,3.122832E+01,6.450000E+01,4.446071E+00,3.056310E+01,6.470000E+01,4.676275E+00,2.899036E+01,6.530000E+01,5.319461E+00,2.534940E+01
alphaass,1.022000E+02,1.708816E+00,2.385397E+01,8.210000E+01,2.052697E+00,2.905633E+01,7.240000E+01,2.646024E+00,3.117397E+01,6.680000E+01,3.527398E+00,3.166601E+01,6.350000E+01,4.864168E+00,3.068278E+01
alphadiss,6.180000E+01,7.007430E+00,2.788416E+01,6.410000E+01,4.518829E+00,3.103569E+01,6.870000E+01,3.123368E+00,3.164138E+01,7.740000E+01,2.258969E+00,3.015958E+01,9.610000E+01,1.751247E+00,2.545191E+01
phi0,9.890000E+01,2.133112E+00,2.281143E+01,7.850000E+01,2.731343E+00,2.838800E+01,6.780000E+01,3.733921E+00,3.081361E+01,6.100000E+01,5.305994E+00,3.101161E+01,5.620000E+01,7.985523E+00,2.864579E+01
f1,6.910000E+01,6.662246E+00,1.923519E+01,6.690000E+01,5.305610E+00,2.473445E+01,6.480000E+01,4.498337E+00,3.002904E+01,6.280000E+01,3.946800E+00,3.539493E+01,6.100000E+01,3.546276E+00,4.091324E+01
f2,6.430000E+01,4.363496E+00,3.116949E+01,6.440000E+01,4.363371E+00,3.117060E+01,6.440000E+01,4.362566E+00,3.117700E+01,6.440000E+01,4.357097E+00,3.122038E+01,6.430000E+01,4.320203E+00,3.151480E+01
f3,7.020000E+01,1.005106E+00,6.752236E+01,7.010000E+01,1.013956E+00,6.728852E+01,6.990000E+01,1.049682E+00,6.635141E+01,6.920000E+01,1.200205E+00,6.268969E+01,6.700000E+01,1.946326E+00,4.960805E+01
f12,6.440000E+01,4.362664E+00,3.117708E+01,6.440000E+01,4.361893E+00,3.118169E+01,6.440000E+01,4.356492E+00,3.121309E+01,6.440000E+01,4.320290E+00,3.142794E+01,6.430000E+01,4.087605E+00,3.289555E+01
f13,6.510000E+01,2.160953E+00,4.313312E+01,6.510000E+01,2.172721E+00,4.304673E+01,6.500000E+01,2.217054E+00,4.272481E+01,6.500000E+01,2.388656E+00,4.151970E+01,6.460000E+01,3.137002E+00,3.693776E+01
f23,6.540000E+01,3.506904E+00,3.443469E+01,6.530000E+01,3.507297E+00,3.443349E+01,6.530000E+01,3.509745E+00,3.442326E+01,6.530000E+01,3.526744E+00,3.435342E+01,6.510000E+01,3.646212E+00,3.386812E+01
f123,6.410000E+01,3.893372E+00,3.278712E+01,6.410000E+01,3.931024E+00,3.265391E+01,6.420000E+01,4.034796E+00,3.229064E+01,6.440000E+01,4.331094E+00,3.128282E+01,6.490000E+01,5.282383E+00,2.831630E+01
kb1,6.580000E+01,4.687433E+00,2.922482E+01,5.850000E+01,3.422935E+00,3.922059E+01,5.300000E+01,3.002646E+00,4.538089E+01,4.880000E+01,3.069159E+00,4.623250E+01,4.620000E+01,3.859896E+00,4.001111E+01
kb2,5.840000E+01,6.475563E+00,4.420202E+01,6.120000E+01,4.999308E+00,3.825683E+01,6.480000E+01,4.320195E+00,3.042377E+01,6.960000E+01,4.083803E+00,2.237364E+01,7.590000E+01,4.290243E+00,1.497745E+01
kb3,6.790000E+01,3.494847E+00,4.533691E+01,6.610000E+01,3.867235E+00,3.774275E+01,6.430000E+01,4.381486E+00,3.097686E+01,6.250000E+01,5.133640E+00,2.485804E+01,6.070000E+01,6.395736E+00,1.900113E+01
ku1,5.850000E+01,5.307591E+00,3.018029E+01,5.910000E+01,3.977616E+00,3.624367E+01,6.060000E+01,3.613817E+00,3.760464E+01,6.280000E+01,3.878446E+00,3.461066E+01,6.580000E+01,5.052584E+00,2.750189E+01
ku2,9.050000E+01,3.087415E+00,1.639676E+01,7.980000E+01,2.832225E+00,2.320716E+01,7.050000E+01,3.344671E+00,2.849947E+01,6.320000E+01,4.674197E+00,3.149144E+01,5.800000E+01,7.468161E+00,3.080823E+01
ku3,6.370000E+01,4.007312E+00,3.523996E+01,6.060000E+01,3.262949E+00,5.390645E+01,5.820000E+01,3.470725E+00,6.776078E+01,5.580000E+01,4.661203E+00,7.590697E+01,5.280000E+01,8.267286E+00,7.631173E+01
bcoop12,5.730000E+01,7.909162E+00,4.077678E+01,6.090000E+01,5.309941E+00,3.641479E+01,6.590000E+01,4.123989E+00,2.925323E+01,7.260000E+01,3.474813E+00,2.194448E+01,8.180000E+01,3.149549E+00,1.541363E+01
bcoop23,5.810000E+01,7.819584E+00,4.184854E+01,6.110000E+01,5.312354E+00,3.775375E+01,6.490000E+01,4.274619E+00,3.016804E+01,7.020000E+01,3.856088E+00,2.192046E+01,7.710000E+01,3.935952E+00,1.432836E+01
bcoop13,7.420000E+01,4.315489E+00,1.691506E+02,6.960000E+01,3.468175E+00,1.308260E+02,6.640000E+01,3.172392E+00,9.490030E+01,6.460000E+01,3.282747E+00,6.292855E+01,6.430000E+01,4.054523E+00,3.581995E+01
