,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1,0.01779,0.6992,0.1677,0.001085,0.1462,22.11,3.581,0.4924,0.8169,58.38,0.04048,51.43,0.09294,0.03426,44.36,0.1205,37.41,0.1347,0.01327,6.663,12.15,2.122,0.1008,1.217,0.4148,0.9988,0.4225,0.08557,1,0,0,277.8,0.001738,0.3916,0.06337,0.4142,9.88E-05,0.08243,0.001078,0.008055,0.1285,0.722,1.58E-05,0.0001371,0.0006492,0.1899,0.01736,0.6883,7.307,185.6,0.2219,4.547,0.0007482,0.1355,FALSE,0
2,0.05394,0.0732,0.09797,0.01353,0.04011,341,1.387,0.341,0.003131,26.05,22.76,0.002721,23.94,0.008491,3.312,47.27,0.00584,0.1548,676.8,0.05495,15.15,1.356,0.5962,4.508,0.6106,3.336,0.3385,0.0731,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
3,12.5,0.5015,0.7562,0.07357,0.1165,18.01,0.1184,0.03843,1.363,28.84,0.0602,0.5681,0.002246,35.53,0.004699,0.01125,3.303,0.05922,4.082,26.48,0.1403,9.687,0.5134,1.384,0.5569,0.6126,5.327,1.595,1,0,0,104.8,0.4213,0.8808,0.03143,0.1374,0.0006503,0.004208,0.02948,0.1901,1.15E-05,0.0001287,2.23E-06,0.000156,0.03276,0.3645,6.60E-07,6.18E-05,0.2671,0.9571,6.638,22.23,0.2842,3.183,FALSE,3
4,12.59,0.2849,0.2966,0.002857,0.04251,51.93,0.04783,0.4799,48.9,0.9558,80.53,0.647,0.1908,0.1021,36.93,99.38,0.3688,0.02806,254.2,0.02067,0.5992,0.07488,15.95,3.785,0.0694,0.115,0.3543,0.4787,1,0,0,188.5,5.10E-05,0.01568,0.01334,0.1317,3.77E-06,4.39E-05,1.54E-05,0.01776,0.0002661,0.03775,7.07E-05,0.001686,0.002966,0.2174,0.739,0.9744,0.03711,0.4572,1.838,18.05,0.002834,0.2664,FALSE,0
5,0.7786,0.4042,1.255,0.000683,0.01302,1.236,0.4504,4.958,8.476,0.04735,21.34,0.06601,0.002112,1.199,2.915,3.117,0.08721,1.149,0.9819,0.03991,8.094,10.84,0.5851,0.08401,0.1765,0.1397,0.5049,0.1316,1,0,0,241.8,0.01987,0.2255,0.008584,0.01926,0.01099,0.02409,0.001368,0.03133,0.04496,0.2416,0.0007213,0.003286,0.0448,0.1572,0.4905,0.7259,0.7211,2.197,1.415,4.136,0.02483,0.1746,FALSE,0
6,6.664,0.0226,2.116,0.005512,0.0131,16.75,2.027,0.01735,3.396,0.5725,39.44,0.007969,0.26,0.00446,16.15,0.003885,0.01293,0.09179,0.09357,0.02553,0.8239,1.011,0.1799,2.728,2.323,0.06901,7.105,2.373,1,0,0,644.7,0.002251,0.01067,0.2207,0.3525,5.34E-05,8.17E-05,0.0004806,0.00158,0.0007371,0.002271,2.59E-07,3.17E-07,0.637,0.7742,4.84E-05,0.0001948,0.04779,0.09886,14.63,27.76,0.1675,0.6025,FALSE,3
7,0.5861,0.07234,0.3543,0.001166,0.1631,3.914,0.6269,0.02206,28.55,46.63,0.01197,31.61,48.23,0.005085,0.001616,8.125,0.02194,0.09523,18.17,54.87,3.162,1.757,3.718,18.55,0.1335,0.06405,0.07373,0.06951,1,0,0,160.9,0.005145,0.0627,2.93E-05,0.01304,0.002655,0.03634,2.58E-06,3.06E-05,0.001434,0.028,2.29E-05,0.002267,1.44E-06,1.65E-06,0.9012,0.9856,0.1786,2.03,2.175,10.64,0.1984,4.711,FALSE,0
8,9.778,0.1065,0.5674,0.003066,0.01055,112.1,0.05787,41.26,0.05412,0.007447,0.05553,0.01344,0.02188,0.001219,27.34,0.02427,0.1321,5.237,0.01239,0.1515,7.291,0.5644,9.637,2.461,0.3169,0.316,3.832,0.08053,1,0,0,155,0.03915,0.5047,0.001687,0.2586,0.0004828,0.4275,0.003014,0.009025,0.07237,0.1049,0.0002179,0.01596,0.0001457,0.01098,0.08127,0.8747,0.0243,1.076,3.562,73.16,0.001427,0.5032,FALSE,0
9,78.09,0.1033,0.5126,0.02952,0.02205,26.95,0.02408,17.32,0.2074,0.7259,0.06269,0.07326,15.58,0.06216,0.004544,1.7,1.442,0.02008,0.03668,0.417,0.3502,0.26,0.202,2.649,2.641,0.2167,8.339,0.1694,1,0,0,178.4,0.0003256,0.005158,0.0002935,0.007707,0.1919,0.4926,0.01433,0.03676,0.02407,0.09284,0.06957,0.2551,0.01539,0.06733,0.2515,0.5641,0.06362,0.1911,48.55,128,1.926,13.39,FALSE,1
10,17.53,0.2389,0.791,0.0009488,0.01487,105,3.061,0.01504,96.28,0.01413,0.05549,0.06785,0.001732,0.02008,0.001187,0.001281,0.009735,0.02171,0.7379,526,0.4056,1.283,0.8557,1.386,0.05035,0.3353,10.49,1.029,1,0,0,88.6,0.06826,0.4856,0.4032,0.4819,0.001605,0.0493,1.30E-05,0.0005758,0.09937,0.5369,6.01E-09,1.22E-05,8.20E-05,0.006045,4.03E-06,0.0006699,1.683,18.99,132.2,1164,2.475,192,TRUE,1
