,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max,p6_per,p6_min,p6_max,p7_per,p7_min,p7_max,p8_per,p8_min,p8_max,p9_per,p9_min,p9_max,p10_per,p10_min,p10_max,p11_per,p11_min,p11_max,p12_per,p12_min,p12_max,p13_per,p13_min,p13_max,p14_per,p14_min,p14_max,p15_per,p15_min,p15_max,p16_per,p16_min,p16_max,p17_per,p17_min,p17_max,p18_per,p18_min,p18_max,p19_per,p19_min,p19_max,p20_per,p20_min,p20_max
beta,301.25,0.006944320703910303,0.034216674089379145,312.8,0.006383086299039696,0.0450283765282484,320.6,0.006181317686704636,0.05448676177683941,326.5,0.006130791504670081,0.062992848119407,331.6,0.0061632345624202,0.07069376465345617,336.40000000000003,0.006248890108548829,0.07771494706643445,341.0,0.006373785467433097,0.08415247834974651,345.90000000000003,0.0065314437712351995,0.09007772683620198,351.0,0.00671955295300762,0.09554114878492692,356.8,0.006938518320890542,0.10057534088185555,362.90000000000003,0.007190982975544727,0.10519630433846958,369.90000000000003,0.007481797617790075,0.10940393568713526,377.6,0.00781854295983366,0.11318010054682726,386.3,0.008212537365017201,0.11648445389737558,396.40000000000003,0.008680864622723595,0.11924604991989579,407.70000000000005,0.009250204472179014,0.12134718577616867,421.1,0.009964514672111643,0.12259206542725605,436.8,0.010902460681368829,0.1226398368850798,455.70000000000005,0.012222143418041478,0.12084729959372913,478.70000000000005,0.014302476934858907,0.11583505593894632
gammam,489.70000000000005,0.015540012700161674,0.11093564421382404,467.1,0.013134188181913387,0.11742041261184893,448.0,0.011642283876012176,0.12037353816039273,432.20000000000005,0.010598026819818382,0.12133322016481334,418.5,0.009811035043256514,0.1210198267090772,406.8,0.00918825834315811,0.11981556985234192,396.5,0.00867835312862208,0.11794204576690503,387.40000000000003,0.00825044393437029,0.11553540920087511,379.20000000000005,0.007884739388998438,0.112681964720051,372.0,0.0075680043736405965,0.10943668824598111,365.5,0.007291119106648705,0.1058332450044989,359.5,0.007047726646792574,0.10188943449743938,354.1,0.006833456410838377,0.09761077002859869,349.1,0.006645528265651072,0.09299128367736186,344.40000000000003,0.006482594982239657,0.08801468317009459,340.0,0.006344856199498888,0.08265339368159846,335.8,0.006234438686381938,0.07686760715673889,331.40000000000003,0.00615643113235543,0.07060330196023334,326.70000000000005,0.006120951971870977,0.0637897498797903,321.5,0.00614793163852127,0.056337041424807485
gammamRNA,,,,515.75,0.019995519629442588,0.094942480592595,482.3,0.014592314005935364,0.11003686963562587,454.90000000000003,0.01213478023703963,0.11583356156233349,433.0,0.010657307916422325,0.11761243253588491,415.3,0.009637888066087931,0.11719868764163906,400.6,0.00887642071886206,0.11538437403842028,388.0,0.00827837257304244,0.11256713260416017,377.20000000000005,0.007792712023428024,0.10896254815434149,367.8,0.007389554928291038,0.10468940962451745,359.6,0.0070504831905467856,0.09980723466471715,352.20000000000005,0.006764162887049705,0.09433401847403049,345.6,0.006524333952187077,0.088253461515655,339.40000000000003,0.006329340346219581,0.08151627985611995,333.5,0.006182971993617556,0.07403718248040941,327.3,0.006098236340447085,0.06568792765609321,320.40000000000003,0.006107417068781597,0.05628762883319419,311.20000000000005,0.0062935575455764755,0.0456022266219572,297.8,0.006887504904670593,0.03346408699057837,274.85,0.009848075091561048,0.017877058985576337
gammad,336.8,0.00626015868739145,0.07840610140262996,336.8,0.006260139382314446,0.07839847330237334,336.8,0.006260101082542906,0.07838870004045612,336.8,0.0062600578519484236,0.07837615251473101,336.8,0.006259993617448036,0.07836000053987721,336.8,0.006259925105715137,0.07833913050647309,336.70000000000005,0.006259832625772964,0.07831239716219551,336.70000000000005,0.006259708482261887,0.07827786032205712,336.70000000000005,0.006259555329647619,0.07823344491271297,336.6,0.006259352282794148,0.07817635173403785,336.6,0.006259104041425372,0.07810276121501228,336.5,0.006258789403411982,0.07800808659728856,336.5,0.006258383801211331,0.07788618311175839,336.3,0.006257884350222585,0.07772934903559303,336.1,0.006257250553020612,0.07752732322204507,335.90000000000003,0.0062564811085331126,0.07726719396902236,335.6,0.0062555551672305275,0.07693223306571098,335.3,0.006254468738277497,0.07650075425723124,334.90000000000003,0.006253239784570629,0.07594486502894117,334.20000000000005,0.006251952584227093,0.07522841911452302
alphaass,,,,282.65000000000003,0.008606602550106271,0.02251925256897272,301.0,0.006844385685166649,0.03581903460009685,312.5,0.006358560914455887,0.04667812158805244,320.70000000000005,0.006179356184605661,0.05649581902059551,327.3,0.006146929017553453,0.06537887701948245,333.1,0.00619671753453993,0.07346209419428956,338.70000000000005,0.006300753501826539,0.08086044895305643,344.40000000000003,0.00644625850950629,0.0876629251811936,350.6,0.006627916509647009,0.09393449316823493,357.1,0.006844820483393247,0.09971805014425875,364.40000000000003,0.007099252568662917,0.10503612376490461,372.6,0.007396517060430047,0.10989069810764535,381.8,0.007745518944896925,0.1142607146534604,392.3,0.008160255103660266,0.1180952512661267,404.6,0.008662859202668674,0.12130033913541748,419.0,0.009289903980636421,0.12371145209934199,436.0,0.010106563127855338,0.12503432036123427,457.0,0.011243335784670853,0.1247004199722119,483.40000000000003,0.01301338861369435,0.12145160001539891
alphadiss,541.95,0.021734095030776432,0.0964696252776964,505.55,0.015021108591571589,0.11596996059522979,474.90000000000003,0.012391108290331864,0.12280028140716934,450.8,0.010892964828120832,0.1249611582119013,431.6,0.009883757229265301,0.12479125876972864,415.5,0.009138601050484868,0.1232188187977775,402.1,0.008556368806679735,0.12068983287140868,390.5,0.008084032656191042,0.11744396447659583,380.40000000000003,0.007690871293079584,0.11361916154173535,371.6,0.007357876025180779,0.10929445761059438,363.70000000000005,0.007072821345495482,0.10451275728020144,356.6,0.00682789404015707,0.09929120099303561,350.3,0.006618396862834248,0.09362623114204169,344.3,0.006442380233931312,0.08749565990491072,338.70000000000005,0.006300806413662494,0.08085921748913122,333.3,0.00619862204459862,0.07365653044451603,327.6,0.006147500415955256,0.06580543979117154,321.20000000000005,0.006172479105675364,0.05720024170847101,313.40000000000003,0.0063297942237991334,0.04771587047874058,302.7,0.006755826427386985,0.03723098108731363
phi0,324.6,0.006137113576403023,0.060017246297965024,329.1,0.0061385897649473145,0.06683398321513347,333.3,0.00618692736867968,0.07311836285398385,337.20000000000005,0.006269162218494877,0.07893916925168801,341.20000000000005,0.006378373837550878,0.08435096589697946,345.3,0.0065110124469632555,0.08939572971888694,349.70000000000005,0.006665607334555796,0.09410477660314485,354.3,0.006842138971130795,0.09849979286130713,359.3,0.007041753794840252,0.10259421966208875,364.70000000000005,0.007266724081577531,0.10639282202338923,370.70000000000005,0.007520532593158122,0.10989210328149358,377.40000000000003,0.007808184651320186,0.11307840186558094,384.70000000000005,0.008136667569890734,0.1159267344273939,392.90000000000003,0.00851590734170548,0.11839626065946858,402.0,0.008960256005938408,0.12042426788778972,412.3,0.009491172466370039,0.12191492532592968,424.20000000000005,0.010142489205055751,0.1227185182845944,437.90000000000003,0.010971046820035822,0.12259123629082358,453.8,0.012081574512195612,0.12110961398942663,472.70000000000005,0.013693143547074632,0.1174657196184369
fm,336.90000000000003,0.006266919074268452,0.0784576670092171,337.0,0.00627590070537509,0.0785232761100252,337.0,0.006287471203566313,0.07860699123578697,337.20000000000005,0.006302418017947826,0.07871364659310831,337.40000000000003,0.006321714400402513,0.07884925320879033,337.6,0.00634667873023136,0.07902112542545138,337.90000000000003,0.006379066872841198,0.07923817453398922,338.3,0.006421156577925374,0.07951064336943535,338.70000000000005,0.006476114842683261,0.07985063238166756,339.40000000000003,0.006548142775635878,0.08027074988589174,340.1,0.00664311543254134,0.08078354113967857,341.20000000000005,0.006769281785349564,0.08139839015141695,342.5,0.006938599672600926,0.08211645647715518,344.20000000000005,0.00716883589090239,0.08292195304746247,346.70000000000005,0.007487602218121062,0.0837649246920292,349.90000000000003,0.007940207445677668,0.08452873067907744,354.40000000000003,0.008606984666190053,0.08496450869235904,360.8,0.009647235307562374,0.0845443234055671,370.3,0.011437238407858274,0.08206739246102494,384.8,0.015192428667556795,0.07429743965252776
fd,,,,282.15000000000003,0.009309487091045279,0.021912617557276953,302.0,0.0071097925479210525,0.036701824052277794,314.5,0.006520572238601888,0.04902799530448785,323.5,0.006297532507417022,0.06026611788231996,331.0,0.0062391315151326485,0.07051768114703894,338.0,0.006269870107147874,0.07992493982986679,344.90000000000003,0.00635839042835058,0.0886102543001726,352.5,0.006491198883596929,0.09666706349972042,360.70000000000005,0.006663573595543084,0.10415905860402176,370.0,0.0068762034345788365,0.1111208661079441,380.70000000000005,0.007134311982990846,0.11755683312249554,393.0,0.007448275567016711,0.12343560890285626,407.8,0.007836092191409206,0.1286768523828766,425.5,0.008329048081915393,0.13312010967939825,447.3,0.00898580415298737,0.13645233585161465,475.5,0.009932193896982638,0.13801031847583295,514.0,0.011512537485682334,0.13608487588977233,571.5500000000001,0.015309327947528909,0.12393940876156771,,,
Km,524.0500000000001,0.016574638859474074,0.1026089306804833,481.6,0.012886242191690992,0.11221105223865996,451.40000000000003,0.011057994385488884,0.11519368334641601,428.5,0.00989690614858896,0.11533861901260387,410.5,0.009066574934724013,0.1138965755202115,395.70000000000005,0.008430893612191471,0.11141311658938008,383.3,0.007922862034274052,0.10816461419128778,372.70000000000005,0.00750529299375697,0.10430188712121924,363.70000000000005,0.007155948445382523,0.09990908619332703,355.6,0.00686106993352682,0.09502863110934354,348.5,0.006612312419637941,0.08967472086928033,342.0,0.006405381207027424,0.08383972045317137,336.1,0.006239773766613351,0.07749707299461943,330.1,0.006119486105398788,0.07060327201701276,324.20000000000005,0.0060555338300059495,0.06309897477155614,317.6,0.006071994301630272,0.05491306881934734,309.70000000000005,0.006221451212032577,0.045979149017687224,299.40000000000003,0.006621474435901456,0.03626989964166253,284.15000000000003,0.007850016772412875,0.024915366931692554,,,
