,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,2.562E+02,1.121E-01,7.111E-01,2.731E+02,1.144E-01,1.167E+00,2.906E+02,1.324E-01,1.528E+00,3.133E+02,1.701E-01,1.714E+00,3.463E+02,2.697E-01,1.530E+00
gammam,3.159E+02,1.853E-01,1.420E+00,2.956E+02,1.446E-01,1.385E+00,2.794E+02,1.226E-01,1.212E+00,2.652E+02,1.112E-01,9.477E-01,2.505E+02,1.115E-01,6.212E-01
gammamRNA,3.358E+02,2.282E-01,1.582E+00,3.110E+02,1.658E-01,1.653E+00,2.926E+02,1.355E-01,1.515E+00,2.777E+02,1.185E-01,1.261E+00,2.645E+02,1.107E-01,9.323E-01
gammad,3.532E+02,1.304E-01,2.113E+00,3.472E+02,1.286E-01,2.068E+00,3.347E+02,1.248E-01,1.964E+00,3.123E+02,1.180E-01,1.728E+00,2.790E+02,1.101E-01,1.219E+00
alphaass,2.604E+02,1.111E-01,8.278E-01,2.788E+02,1.155E-01,1.298E+00,2.996E+02,1.336E-01,1.685E+00,3.279E+02,1.715E-01,1.895E+00,3.708E+02,2.810E-01,1.664E+00
alphadiss,3.373E+02,1.883E-01,1.891E+00,3.085E+02,1.439E-01,1.783E+00,2.876E+02,1.220E-01,1.484E+00,2.705E+02,1.116E-01,1.090E+00,2.532E+02,1.149E-01,6.506E-01
phi0,2.671E+02,1.113E-01,1.006E+00,2.818E+02,1.221E-01,1.371E+00,2.992E+02,1.448E-01,1.633E+00,3.223E+02,1.896E-01,1.713E+00,3.547E+02,3.153E-01,1.402E+00
fm,2.335E+02,8.069E-02,3.893E-01,2.448E+02,7.678E-02,5.785E-01,2.537E+02,8.345E-02,7.582E-01,2.616E+02,1.017E-01,8.969E-01,2.702E+02,1.458E-01,9.127E-01
fd,2.656E+02,1.103E-01,9.626E-01,2.804E+02,1.131E-01,1.351E+00,2.973E+02,1.235E-01,1.695E+00,3.186E+02,1.427E-01,1.953E+00,3.482E+02,1.802E-01,2.044E+00
Km,3.421E+02,1.909E-01,1.671E+00,3.087E+02,1.444E-01,1.599E+00,2.862E+02,1.223E-01,1.353E+00,2.688E+02,1.117E-01,1.026E+00,2.527E+02,1.129E-01,6.655E-01
Kd,2.610E+02,1.113E-01,8.429E-01,2.787E+02,1.134E-01,1.284E+00,2.986E+02,1.273E-01,1.648E+00,3.253E+02,1.564E-01,1.861E+00,3.656E+02,2.313E-01,1.738E+00
kbm,4.207E+02,3.863E-02,1.161E+01,3.782E+02,4.524E-02,8.848E+00,3.421E+02,5.429E-02,6.190E+00,3.109E+02,6.714E-02,3.755E+00,2.815E+02,8.827E-02,1.714E+00
kbd,2.648E+02,1.173E-01,7.971E-01,2.634E+02,1.075E-01,9.899E-01,2.628E+02,1.047E-01,1.062E+00,2.626E+02,1.038E-01,1.088E+00,2.625E+02,1.035E-01,1.097E+00
