,log10_var,log10_left_bound,log10_right_bound
beta,1.499549625905149,1.448286691931929,1.5131347420022383
gammam,-0.23859844250136897,-0.25208184854384275,-0.1901331338682784
gammamRNA,-0.0015226969634935688,-0.01616369941972651,0.04933587749168383
gammad,-1.192938760082761,-3.3010299956639813,-1.0
alphaass,-1.2332897927377409,-1.296183989427223,-1.2092021014733318
alphadiss,0.809694358716924,0.7910923354810014,0.8738634693013891
phi0,-1.2271650727609817,-1.272448369278893,-1.2141152774127728
fm,-1.5043169323830847,-3.0,-0.9054346441340224
fd,1.3036279763838898,1.2573975977313285,1.3226693989046427
Km,-0.3769575657536184,-0.40166820145099014,-0.2871957406746868
Kd,-0.039386542352091186,-0.10050611393930117,-0.019662975250762618
kbm,-2.2464169411070936,-3.0,-2.0017503400081496
kbd,0.41995574848975786,-0.5252078030948139,2.0
