,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,9.540000E+01,2.414765E-01,6.229980E+01,7.380000E+01,3.104940E-01,7.999976E+01,6.230000E+01,4.326140E-01,9.507801E+01,5.440000E+01,6.690059E-01,1.073145E+02,4.760000E+01,1.274081E+00,1.126311E+02
gammam,5.390000E+01,9.568226E-01,1.030067E+02,5.860000E+01,4.927798E-01,1.013647E+02,6.440000E+01,3.193968E-01,9.465557E+01,7.370000E+01,2.310296E-01,8.548239E+01,9.300000E+01,1.804581E-01,7.318586E+01
gammamRNA,4.770000E+01,1.317658E+00,1.131572E+02,5.440000E+01,6.805165E-01,1.077572E+02,6.200000E+01,4.349604E-01,9.527000E+01,7.330000E+01,3.094261E-01,8.006583E+01,9.500000E+01,2.389015E-01,6.232418E+01
gammad,5.790000E+01,4.851275E-01,1.104604E+02,5.790000E+01,4.869890E-01,1.101410E+02,5.790000E+01,4.915170E-01,1.093640E+02,5.790000E+01,5.026306E-01,1.075237E+02,5.780000E+01,5.305078E-01,1.032631E+02
alphaass,7.090000E+01,3.025244E-01,8.752543E+01,6.370000E+01,3.842800E-01,9.538150E+01,5.840000E+01,5.150037E-01,1.014898E+02,5.410000E+01,7.530446E-01,1.051560E+02,4.970000E+01,1.325769E+00,1.033241E+02
alphadiss,5.160000E+01,1.064217E+00,1.048507E+02,5.720000E+01,5.647382E-01,1.027649E+02,6.420000E+01,3.709541E-01,9.473798E+01,7.490000E+01,2.697502E-01,8.343572E+01,9.600000E+01,2.112886E-01,6.844109E+01
phi0,9.670000E+01,2.396806E-01,6.158405E+01,7.420000E+01,3.082075E-01,7.958462E+01,6.250000E+01,4.302549E-01,9.487495E+01,5.450000E+01,6.677685E-01,1.072857E+02,4.760000E+01,1.282007E+00,1.126182E+02
f1,5.780000E+01,5.382526E-01,1.021507E+02,5.780000E+01,5.435701E-01,1.020367E+02,5.760000E+01,5.636457E-01,1.015961E+02,5.670000E+01,6.439441E-01,9.988114E+01,5.370000E+01,1.053942E+00,9.228217E+01
f2,5.790000E+01,5.383443E-01,1.021527E+02,5.790000E+01,5.383409E-01,1.021514E+02,5.780000E+01,5.383323E-01,1.021591E+02,5.780000E+01,5.382443E-01,1.022377E+02,5.770000E+01,5.376711E-01,1.027321E+02
f3,8.460000E+01,7.401076E-01,3.116158E+01,7.160000E+01,5.415655E-01,5.523034E+01,6.340000E+01,5.009305E-01,7.989531E+01,5.710000E+01,5.489660E-01,1.049937E+02,5.140000E+01,7.492940E-01,1.278963E+02
f12,5.790000E+01,5.383435E-01,1.021524E+02,5.790000E+01,5.383484E-01,1.021552E+02,5.790000E+01,5.383853E-01,1.021714E+02,5.790000E+01,5.386434E-01,1.023241E+02,5.780000E+01,5.405320E-01,1.033252E+02
f13,5.790000E+01,5.261343E-01,1.023473E+02,5.780000E+01,5.339134E-01,1.022192E+02,5.770000E+01,5.587798E-01,1.018287E+02,5.720000E+01,6.440261E-01,1.004981E+02,5.520000E+01,1.019299E+00,9.492624E+01
f23,5.790000E+01,5.383487E-01,1.021521E+02,5.780000E+01,5.383018E-01,1.021578E+02,5.790000E+01,5.379711E-01,1.021845E+02,5.790000E+01,5.357410E-01,1.024193E+02,5.790000E+01,5.209608E-01,1.040411E+02
f123,5.780000E+01,5.382145E-01,1.021495E+02,5.780000E+01,5.387754E-01,1.021653E+02,5.790000E+01,5.415543E-01,1.022348E+02,5.810000E+01,5.557988E-01,1.026232E+02,5.920000E+01,6.373704E-01,1.045507E+02
kb1,5.920000E+01,6.474613E-01,1.240547E+02,5.720000E+01,5.100198E-01,9.139108E+01,5.530000E+01,4.910790E-01,6.180663E+01,5.330000E+01,5.786173E-01,3.738603E+01,5.060000E+01,9.041625E-01,1.896068E+01
kb2,5.770000E+01,5.667387E-01,1.040525E+02,5.820000E+01,4.872594E-01,9.590985E+01,5.920000E+01,4.558001E-01,7.976832E+01,6.110000E+01,5.090491E-01,5.638771E+01,6.560000E+01,7.599007E-01,3.170700E+01
kb3,8.990000E+01,6.582040E-01,4.739573E+01,7.440000E+01,5.137779E-01,7.012725E+01,6.560000E+01,4.801488E-01,8.720914E+01,5.930000E+01,5.138998E-01,9.958865E+01,5.420000E+01,6.627442E-01,1.064194E+02
ku1,1.189000E+02,5.488687E-02,5.897476E+01,9.550000E+01,7.332834E-02,7.174019E+01,7.960000E+01,1.117965E-01,8.327888E+01,6.820000E+01,1.964680E-01,9.329527E+01,5.960000E+01,4.291521E-01,1.011038E+02
ku2,1.062000E+02,1.884864E-01,2.335563E+01,8.410000E+01,2.102294E-01,5.305841E+01,6.300000E+01,3.248416E-01,8.909630E+01,5.730000E+01,6.064730E-01,1.044195E+02,5.690000E+01,7.236137E-01,1.079091E+02
