,log10_var,log10_left_bound,log10_right_bound
beta,-0.3376199799837524,-0.35385415986672364,-0.25737462677567935
gammam,-0.18375870000821692,-0.24701411983225113,-0.169402551570075
gammamRNA,-0.29662263148765045,-0.36262305552359647,-0.2788953689477802
gammad,-2.288192770958809,-3.3010299956639813,-1.0
alphaass,-1.1544059068399757,-1.1907400280304454,-1.0146145665585724
alphadiss,1.7309436934277358,1.587721765208732,1.7656444518105712
phi0,0.9831299247347001,0.9685638606490814,1.0
f1,1.6180480967120927,1.5864794085509748,1.7105520732896327
f2,1.4695274791870139,-3.0,2.0
f3,-1.7351821769904636,-3.0,0.36950543641138944
f12,1.0569048513364727,-3.0,2.0
f13,-1.198870812420296,-3.0,0.21625465440235447
f23,0.3854275148051306,-3.0,2.0
f123,-1.6643415477106984,-3.0,1.6457326042740634
kb1,0.6999244027424767,0.6674055359214979,0.79387517832554
kb2,-1.234405944680555,-3.0,-0.22681268652323375
kb3,-2.822175028135318,-3.0,-2.4313151381595066
ku1,2.2137832993353044,2.11913777601039,2.247566048191991
ku2,2.300812794118117,1.2634097080368916,3.0
ku3,-1.1329451995232984,-1.5427640700611147,-1.0320432171130616
bcoop12,-0.015517693597737256,-1.3010299956639813,1.3010299956639813
bcoop23,1.2370407913791908,-1.3010299956639813,1.3010299956639813
bcoop13,0.3519894554356322,0.1421334704327516,1.2231790138483745
bcoop123,0.29314148345093083,-1.3010299956639813,1.3010299956639813
ucoop12,-0.6283780728239787,-1.3010299956639813,1.3010299956639813
ucoop23,0.9147661369258525,-1.3010299956639813,1.3010299956639813
ucoop13,-0.5456125328530449,-1.3010299956639813,-0.41216375637818164
ucoop123,-0.1982533807805399,-1.3010299956639813,1.3010299956639813
