,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1,40.76,0.4599,4.237,0.005486,0.1948,250.7,0.5316,61.77,4.771,0.009321,0.003339,0.1304,2.101,0.00141,0.5515,0.09659,0.001983,18.01,331.2,0.09694,3.438,2.152,0.5882,0.1925,0.8385,0.2725,0.2801,0.06209,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
2,0.4154,0.1181,0.8861,0.001117,0.5822,721.9,9.457,0.1099,0.5856,29.69,49.71,0.006529,2.525,0.04859,0.001057,0.001734,0.3494,0.03451,5.944,17.08,6.273,0.4651,0.2287,0.1732,1.53,0.05887,0.1089,0.05589,1,0,0,135.1,0.2473,0.4888,0.09712,0.2219,0.0009059,0.002197,0.06279,0.1567,0.00171,0.003248,0.0002814,0.002369,0.2314,0.4381,0.01675,0.07404,25.6,54.79,93.53,180.3,7.054,26.22,FALSE,1
3,25.97,0.9111,0.4643,0.001388,0.7166,26.44,0.04898,0.7766,3.665,58.8,4.936,0.006699,0.06709,0.05692,0.002174,0.005659,0.008392,0.07098,19.4,0.4102,0.3926,0.9695,1.665,1.567,0.09575,0.1227,0.7927,0.5054,1,0,0,201.4,0.2366,0.9325,0.03595,0.1222,0.0002063,0.003109,0.01558,0.1949,4.78E-05,0.003715,7.95E-06,0.00345,0.008308,0.4462,8.30E-05,0.08814,0.1939,1.248,5.542,33.72,0.8327,30.81,TRUE,1
4,44.63,0.6709,2.268,0.001981,0.01893,19.68,0.2334,98.71,0.1567,0.9288,0.05499,0.009935,0.2673,0.009734,26.18,0.01883,0.001048,854.9,64.57,0.05123,3.151,17.54,4.048,0.8748,0.7685,2.22,1.928,0.2822,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
5,64.51,0.3005,0.2447,0.0522,0.07663,744.5,0.07417,0.009829,0.001011,51.49,34.31,0.1111,1.503,0.1179,0.001509,0.06265,0.5613,0.04928,214.8,27.43,7.146,0.7816,0.8764,3.34,1.743,0.09893,0.4173,1.078,1,0,0,112.9,0.1012,0.8743,0.03427,0.41,0.0001409,0.004165,0.009882,0.2923,0.0001304,0.004107,4.10E-06,0.009384,0.01762,0.5604,0.0001103,0.2267,0.3698,4.226,80.47,807.7,0.6665,67.14,TRUE,1
6,5.978,0.3069,2.043,0.02324,0.04224,752,6.912,60.42,0.01645,0.003406,46.19,0.001049,25.39,0.01707,0.01302,0.1601,0.001624,0.4252,549,0.07936,2.996,0.5151,1.667,5.52,0.7307,0.06521,0.7939,1.781,1,0,0,108.4,0.07047,0.8226,0.01364,0.3958,0.0001014,0.004954,0.05489,0.1442,8.83E-06,0.04106,3.18E-05,0.002407,0.06949,0.6111,0.000734,0.2755,4.986,86.56,98.09,1361,0.5405,104.1,FALSE,1
7,14.56,0.9687,2.544,0.006968,0.02346,1.92,0.6346,0.004676,0.002945,83.29,14.04,0.005783,3.633,0.02627,0.001997,0.1508,0.01484,0.06521,517,0.7256,0.4886,1.666,0.1987,0.6121,0.1192,0.2109,0.09461,0.1975,1,0,0,141.2,0.124,0.9618,0.04938,0.06617,4.50E-05,0.004878,0.003755,0.2792,1.76E-05,0.003719,4.82E-07,0.009367,0.002377,0.5423,1.05E-05,0.1948,0.265,5.883,4.04,72.21,0.2083,62.99,TRUE,1
8,46.92,0.1408,0.5447,0.001355,0.8119,361,0.01329,48.87,3.355,0.3567,0.00427,0.003583,1.382,0.01357,0.03718,0.1581,0.001094,1.214,541.9,0.05345,1.933,0.6562,1.434,0.1577,0.4714,0.08307,0.6827,0.05086,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
9,8.017,0.4926,0.591,0.0424,0.2643,172.9,0.5211,0.009825,31.23,44.62,3.044,0.04223,3.227,0.003152,0.002219,0.1926,0.03332,0.07247,660.4,1.629,4.948,1.275,0.4039,0.6951,1.207,0.1614,0.1923,0.2242,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
10,13,0.6672,1.14,0.002384,0.01474,69.13,8.407,0.6907,0.5945,38.28,0.001821,0.003154,0.8771,0.001145,0.001185,0.001097,0.01168,0.03869,3.76,0.5709,6.558,0.4701,4.524,0.2162,1.6,0.0595,2.154,0.06973,1,0,0,43.7,0.07216,0.1307,0.0691,0.143,0.00071,0.001307,0.04989,0.09194,0.003204,0.005504,0.0006214,0.003135,0.5199,0.6092,0.09258,0.2316,15.64,26.98,307,517,20.09,56.99,FALSE,1
